Fecha,From,To,Tiempo (min),Distancia (km),Real Time,Velocidad promedia
Thu Nov  3 19:29:08 2022,Tomeco,Copiulemu,0.0,0.0,True,
Thu Nov  3 19:29:08 2022,Copiulemu,Tomeco,0.0,0.0,True,
Thu Nov  3 19:29:08 2022,Tomeco,Copiulemu,0.0,0.0,False,
Thu Nov  3 19:29:08 2022,Copiulemu,Tomeco,0.0,0.0,False,
